id,incidence_date,conflict_type_id,country_id,region_id,state_id,lga_id,community,civilian_death_male,civilian_death_female,civilian_death_unknown,security_death_male,security_death_female,security_death_unknown,injured_male,injured_female,injured_unknown,kidnapped_male,kidnapped_female,kidnapped_unknown,displaced_persons,displaced_male,displaced_female,actor_1,actor_2,actor_3,description,action,highway_roads_water,confirmation_verification,verification_level,source_url,source_contact_details,source_contact_pictures,source_metadata,data_source,reporter_id,created_at,updated_at,deleted_at
470,'2021-04-05',8,1,5,29,589,'Udu',0,0,2,0,0,2,0,0,\N,0,0,\N,'No',0,0,7,21,4,'Gunmen kill 2 police men and two civilians in delta','attack',\N,"'Confirmed by the Delta State Commissioner of Police, Hafiz Inuwa'",'1','https://guardian.ng/news/gunmen-kill-two-policemen-civilians-at-delta-nightclub/',\N,\N,'Sources: The Guardian','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
471,'2021-04-05',2,1,3,20,414,'Tsibiri',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,21,2,22,'Police kill 1 bandit','armed clash',\N,'Eye Witness','1','https://www.channelstv.com/2021/04/05/police-kill-suspected-bandit-recover-ammunition-in-zamfara/',\N,\N,'Sources: channelstv','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
472,'2021-04-05',8,1,4,22,438,'Aguleri',0,0,\N,0,0,\N,0,0,\N,0,0,5,'No',0,0,7,4,22,'Bandits kidnap 5','attack',\N,'Confirmed by the Anambra State police spokesman Ikenga Tochukwu','1','https://www.thisdaylive.com/index.php/2021/04/05/suspected-herdsmen-kidnap-five-persons-in-anambra-community/',\N,\N,'Sources: Thisday','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
473,'2021-04-06',9,1,5,29,584,'Okutolo',0,0,2,0,0,\N,0,0,\N,0,0,\N,'No',0,0,14,4,22,'Kidnappers kill 2 civilians','attack',\N,"'Confirmed y the Police Public Relations Officer of the State command, Mr. Bright Edafe'",'1','https://www.vanguardngr.com/2021/04/2-killed-as-police-rescues-6-kidnapped-passengers-in-delta/',\N,\N,'Sources: Vanguard','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
474,'2021-04-06',8,1,4,23,465,'Ugbodo',0,0,1,0,0,\N,0,0,1,0,0,\N,'No',0,0,21,7,22,"'Police kill 1 bandit , one police man injured'",'attack',\N,'Eye Witness','1','https://thenationonlineng.net/one-killed-as-police-repel-attack-on-station-in-ebonyi/',\N,\N,'Sources: The Nation','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
475,'2021-04-07',9,1,6,35,810,'Ajowa Akoko',0,0,\N,0,0,\N,0,0,\N,0,0,5,'No',0,0,14,4,22,'Kidnappers abduct 5','attack',\N,'Eye Witness','1','https://www.premiumtimesng.com/news/top-news/453552-insecurity-gunmen-allegedly-kidnap-family-of-five-in-ondo.html',\N,\N,'Sources: Premium Times','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
476,'2021-04-07',9,1,6,36,713,'Ifewara',0,0,\N,0,0,\N,0,0,\N,0,0,2,'No',0,0,14,4,22,'Kidnappers abduct 2 chinese nationals','attack',\N,"'Confirmed by the Spokesperson of osun state command, SP Yemisi Opalola'",'1','https://guardian.ng/news/kidnappers-demand-n10m-for-release-of-chinese-miners-in-osun/',\N,\N,'Sources: The Guardian','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
477,'2021-04-08',2,1,3,15,261,'Ungwan Nacibi',0,0,24,0,0,\N,0,0,\N,0,0,\N,'No',0,0,21,2,22,'Airforce airstrike kill 24','attack',\N,"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://thenationonlineng.net/troops-neutralise-24-bandits-in-kaduna/',\N,\N,'Sources: The Nation','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
478,'2021-04-08',4,1,4,22,442,'Okpuno',0,0,2,0,0,\N,0,0,\N,0,0,\N,'No',0,0,24,24,22,'Cult clash claim 3 lives in Anambra','armed clash',\N,'Confirmed by the Anambra State police spokesman Ikenga Tochukwu','1','https://thenationonlineng.net/three-killed-in-anambra-cult-clash/',\N,\N,'Sources: The Nation','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
479,'2021-04-08',4,1,4,22,442,'Umubele',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,24,24,22,'1 killed in Anambra Cult clash','armed clash',\N,'Confirmed by the Anambra State police spokesman Ikenga Tochukwu','1','https://thenationonlineng.net/three-killed-in-anambra-cult-clash/',\N,\N,'Sources: The Nation','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
